saleDateKey,saleDate,year,month,day,weekday,quarter
637,9/28/1981,1981,9,28,2,3
638,9/29/1981,1981,9,29,3,3
639,9/30/1981,1981,9,30,4,3
640,10/1/1981,1981,10,1,5,4
641,10/2/1981,1981,10,2,6,4
642,10/3/1981,1981,10,3,7,4
643,10/4/1981,1981,10,4,1,4
644,10/5/1981,1981,10,5,2,4
645,10/6/1981,1981,10,6,3,4
646,10/7/1981,1981,10,7,4,4
647,10/8/1981,1981,10,8,5,4
648,10/9/1981,1981,10,9,6,4
649,10/10/1981,1981,10,10,7,4
650,10/11/1981,1981,10,11,1,4
651,10/12/1981,1981,10,12,2,4
652,10/13/1981,1981,10,13,3,4
653,10/14/1981,1981,10,14,4,4
654,10/15/1981,1981,10,15,5,4
655,10/16/1981,1981,10,16,6,4
656,10/17/1981,1981,10,17,7,4
657,10/18/1981,1981,10,18,1,4
658,10/19/1981,1981,10,19,2,4
659,10/20/1981,1981,10,20,3,4
660,10/21/1981,1981,10,21,4,4
661,10/22/1981,1981,10,22,5,4
662,10/23/1981,1981,10,23,6,4
663,10/24/1981,1981,10,24,7,4
664,10/25/1981,1981,10,25,1,4
665,10/26/1981,1981,10,26,2,4
666,10/27/1981,1981,10,27,3,4
667,10/28/1981,1981,10,28,4,4
668,10/29/1981,1981,10,29,5,4
669,10/30/1981,1981,10,30,6,4
670,10/31/1981,1981,10,31,7,4
671,11/1/1981,1981,11,1,1,4
672,11/2/1981,1981,11,2,2,4
673,11/3/1981,1981,11,3,3,4
674,11/4/1981,1981,11,4,4,4
675,11/5/1981,1981,11,5,5,4
676,11/6/1981,1981,11,6,6,4
677,11/7/1981,1981,11,7,7,4
678,11/8/1981,1981,11,8,1,4
679,11/9/1981,1981,11,9,2,4
680,11/10/1981,1981,11,10,3,4
681,11/11/1981,1981,11,11,4,4
682,11/12/1981,1981,11,12,5,4
683,11/13/1981,1981,11,13,6,4
684,11/14/1981,1981,11,14,7,4
685,11/15/1981,1981,11,15,1,4
686,11/16/1981,1981,11,16,2,4
687,11/17/1981,1981,11,17,3,4
688,11/18/1981,1981,11,18,4,4
689,11/19/1981,1981,11,19,5,4
690,11/20/1981,1981,11,20,6,4
691,11/21/1981,1981,11,21,7,4
692,11/22/1981,1981,11,22,1,4
693,11/23/1981,1981,11,23,2,4
